project,description,version,developers,url,year,licenses,license urls,dependency
play-services-base,null,17.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-base:17.0.0
play-services-basement,null,17.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-basement:17.0.0
play-services-location,null,17.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-location:17.0.0
play-services-places-placereport,null,17.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-places-placereport:17.0.0
play-services-tasks,null,17.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-tasks:17.0.0
reactive-streams,A Protocol for Asynchronous Non-Blocking Data Sequence,1.0.3,Reactive Streams SIG,http://www.reactive-streams.org/,2014,CC0,http://creativecommons.org/publicdomain/zero/1.0/,org.reactivestreams:reactive-streams:1.0.3
RxAndroid,RxAndroid,2.1.1,"Jake Wharton,Matthias Käppler,Dan Lew",https://github.com/ReactiveX/RxAndroid,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,io.reactivex.rxjava2:rxandroid:2.1.1
RxJava,Reactive Extensions for Java,2.2.17,David Karnok,https://github.com/ReactiveX/RxJava,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,io.reactivex.rxjava2:rxjava:2.2.17
RxKotlin,RxJava bindings for Kotlin,2.4.0,"Thomas Nield,Vedran Prišćan",https://github.com/ReactiveX/RxKotlin,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,io.reactivex.rxjava2:rxkotlin:2.4.0
VersionedParcelable and friends,Provides a stable but relatively compact binary serialization format that can be passed across processes or persisted safely.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.versionedparcelable:versionedparcelable:1.0.0
